amfi_code,cagr,sharpe_ratio,sortino_ratio,alpha,beta,cagr_rank,sharpe_rank,sortino_rank,alpha_rank,final_score,max_drawdown,drawdown_rank,final_score_v2
148567,0.2919805651631817,1.4482911703262602,2.385644373368818,0.2698375144191807,0.023683558075848623,6.0,1.0,1.0,7.0,90.23746701846966,-0.11265729075028275,8.0,87.78523489932886
120843,0.2916681455886083,1.3067439695428407,2.364320032166718,0.27330465038306057,-0.02282956979242654,7.0,2.0,2.0,5.0,89.1820580474934,-0.1297396816518679,13.0,84.16107382550335
148569,0.3043472654509627,1.2349300257743299,2.1469139263460555,0.2827036785246582,0.018133884083859245,4.0,3.0,3.0,4.0,90.76517150395779,-0.1639674294693263,21.0,81.20805369127517
120505,0.32093479252422474,1.1801011976606492,2.0293529404657464,0.2926358334175106,0.000549004250631712,1.0,5.0,5.0,3.0,91.02902374670185,-0.18188513572116294,25.0,79.32885906040269
119551,0.2481583091667401,1.208266567372718,2.140267129061793,0.23201007160635082,-0.03175144113890972,10.0,4.0,4.0,10.0,81.53034300791558,-0.1501238549864533,17.0,75.83892617449663
100033,0.2930782821000395,1.0936987435346308,1.8291339615146942,0.2719535450128533,0.0051035258305283104,5.0,7.0,8.0,6.0,83.11345646437994,-0.16217208574644848,20.0,75.57046979865771
149323,0.2839600073808435,1.1321218524747247,1.875101063919208,0.26598577542043045,-0.002523004664699247,8.0,6.0,6.0,8.0,81.53034300791558,-0.17248105753451382,22.0,73.15436241610738
101206,0.2259554592416353,1.0272133278753697,1.7995628746984524,0.21399784776051212,0.02108631625012803,13.0,9.0,10.0,12.0,70.97625329815304,-0.11291596329323073,9.0,71.54362416107382
120504,0.22703522023936396,1.0265242847993004,1.8052937940992548,0.2119482701352573,0.016232169761417007,12.0,10.0,9.0,13.0,70.97625329815304,-0.12588275606922517,12.0,69.93288590604027
118632,0.23135375521457213,1.0816591793457044,1.8501325468557264,0.21829397904608644,-0.008353832126962021,11.0,8.0,7.0,11.0,75.46174142480211,-0.17414075086657232,23.0,67.6510067114094
119598,0.3155417326416201,0.9453082575156094,1.6753165700125516,0.3033696538698332,-0.023196062044059693,2.0,14.0,12.0,1.0,80.47493403693932,-0.2870600572176455,36.0,64.69798657718121
119552,0.21186862087109115,0.9532794968660105,1.609776489628308,0.1986859936686296,-0.026159307513513405,15.0,12.0,15.0,15.0,62.796833773087066,-0.11803493502764295,11.0,63.89261744966443
